identifier,file,mediatype,collection,licenseurl,publisher,year,date,creator[0],creator[1],creator[2],creator[3],language,title,description
SeaGL2022-Josh_Berkus-The_Cloud_Native_Burrito,SeaGL2022-Josh_Berkus-The_Cloud_Native_Burrito.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Josh Berkus,,,,English,The Cloud Native Burrito,"<p>Containers! Orchestrators! Service Mesh! Serverless! PodSecurity! You’ve heard all the hype from the many, many projects that call themselves “Cloud Native”, but what does it all mean? Why would you want to use any of this, and what tools do you actually need, and why does the CNCF have over 120 projects?</p><p>Welcome to the Cloud Native Taqueria, where your questions will be answered. In this talk, we will give you a whirlwind orientation tour of Cloud Native technologies and Mexican food, from Kubernetes to Istio to Tekton to Knative. We’ll explain each part of the stack, and why you might or might not want to use it, and how to figure out what your options are.</p><p>You’ll complete this talk with a better understanding of the Cloud Native universe and what things you want to learn more about.</p>"
SeaGL2022-Justin_Ribeiro-Free-Riders_and_the_Motivations_that_Keep_OSS_Developers_Writing_Code,SeaGL2022-Justin_Ribeiro-Free-Riders_and_the_Motivations_that_Keep_OSS_Developers_Writing_Code.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Justin Ribeiro,,,,English,Free-Riders and the Motivations that Keep OSS Developers Writing Code,"<p>Researchers have grown accustomed to exploring the depths of open source software as a public good. The collective action model applies given the nature of provisioning—open source software is non-excludable and non-rivalry (Hippel &amp; Krogh, 2003). Individual contributors author software or code that they and the public at large have free access to utilize as they see fit, while the group can use the software or code without contributing. Given the non-excludability of open source software, this creates free riders—those who benefit from that good on equal terms with those who contribute (Hardin &amp; Cullity, 2003).</p><p>As OSS has gained usage momentum beyond small bands of individual contributors into the masses at large, the need to understand how maintainable motivation for those contributors works. In this talk, Justin Ribeiro explores the current state of the research regarding motivations in OSS as well with a look forwards towards the impact of free riders and how their behavior affects the nature of contribution from authors within OSS.</p>"
SeaGL2022-Kaylea_Champion-TIL_2022_FLOSS_Research_Roundup,SeaGL2022-Kaylea_Champion-TIL_2022_FLOSS_Research_Roundup.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Kaylea Champion,,,,English,TIL 2022: FLOSS Research Roundup,"<p>2022 was another great year for FLOSS research! Academics around the globe study FLOSS communities and their development practices. In this talk, we’ll explore the latest findings and trends in this research. I’ll extract key observations that you can bring to your community and workplace.</p>"
SeaGL2022-Kaylea_Champion-Whats_Anonymity_Worth,SeaGL2022-Kaylea_Champion-Whats_Anonymity_Worth.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Kaylea Champion,,,,English,What's Anonymity Worth?,"<p>What is anonymity worth? What is lost when people who prefer or need to remain anonymous are excluded? How do platforms and communities respond to anonymity seekers? In this talk, I’ll share results from a series of ten research projects to understand the reasons people seek anonymity, how and why anonymity-seekers are excluded from many online communities, and the value of leaving space for people to remain anonymous while participating. I’ll conclude with an evaluation of the results of community efforts to manage participation from anonymous participants. You’ll leave this talk with a series of specific steps you can take individually, in your community, and in your workplace.</p>"
SeaGL2022-Lorena_Mesa-Open_Source_Its_Outta_this_World,SeaGL2022-Lorena_Mesa-Open_Source_Its_Outta_this_World.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Lorena Mesa,,,,English,Open Source: It’s Outta this World!,"<p>Keynote</p>"
SeaGL2022-Neslihan_Turan-Struggles_and_possible_solutions_of_a_local_free_software_movement,SeaGL2022-Neslihan_Turan-Struggles_and_possible_solutions_of_a_local_free_software_movement.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Neslihan Turan,,,,English,Struggles and possible solutions of a local free software movement,"<p>This talk will be based on my experience as a member of the Free Software Association in Turkey. In a local freedom movement, many local factors affect the way that advocacy should be made, such as economical disadvantages, priorities, country dynamics, and the target audience. It is not always feasible to bring software freedom to the table in a country with low digital literacy and major political conflicts. For years, we have defined the problem and come up with some possible solutions, such as inviting already politicised groups to our movement and explaining software freedom in terms of their struggles, that may help other local communities too. Additionally, the Q&amp;A section will allow the audience to share their struggles and discuss possible solutions. The goal of this talk is to help other local communities find possible reasons for their struggles, to show that these struggles are not specific to them, to give them some ideas about possible solutions, and to be inspired by suggestions of the audience.</p>"
SeaGL2022-Nicolas_Steenhout-The_internet_is_unusable_The_disabled_view,SeaGL2022-Nicolas_Steenhout-The_internet_is_unusable_The_disabled_view.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Nicolas Steenhout,,,,English,The internet is unusable: The disabled view.,"<p>Web accessibility aims at making the web more usable for disabled folks. We tend to think about accessibility from the perspective of only a few groups. Blind screen reader users or deaf users, to name a couple. But there are many different groups, relying on different assistive technologies, who benefit from accessibility.</p><p>I will feature important aspects of accessibility that aren’t as well know as others. And I will use findings from usability testing as well as quotes from disabled users about the barriers they experience on the web. Because disabled folks are the best people to explain what makes using the web difficult or painful for them.</p>"
SeaGL2022-Richard_Littauer-Gulls_do_gull_Using_Node_D3_React_and_occasionally_grep_to_get_insight,SeaGL2022-Richard_Littauer-Gulls_do_gull_Using_Node_D3_React_and_occasionally_grep_to_get_insight.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-04,Richard Littauer,,,,English,"Gulls do gull: Using Node, D3, React and occasionally grep to get insight into bird subspecies distribution","<p>Birdwatching is the art of looking at birds; birding is the art of naming them. And subspecies identification is the nerdy Sarlacc pit of bird identification. In this talk, I’ll talk about how I have over-engineered ways of getting bird subspecies distribution data from the community science site eBird, by using Node.js, React.js, D3.js, and occasionally other things like jq, grep, and plain old vim. I’ll talk about how this is hard, as a hobbyist. I’ll also briefly go into what subspecies are, the book I’m working on how to better know a subspecies, and what fun subspecies to look for if you’re in the Seattle area and you like birds. And yes, there will be seagulls.</p>"
SeaGL2022-Sumana_Harihareswara-Keynote,SeaGL2022-Sumana_Harihareswara-Keynote.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Sumana Harihareswara,,,,English,Keynote,"<p>Keynote</p>"
SeaGL2022-Ten_years_of_SeaGL,SeaGL2022-Ten_years_of_SeaGL.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2022,2022-11-05,Wm Salt Hale,Deb Nicholson,Rob Smith,Adam Monsen,English,Ten years of SeaGL,<p>Welcome to the Seattle GNU/Linux Conference! We can hardly believe it’s we’ve made it ten years. Come hear how we got here and where we’re going next!</p>
