identifier,file,mediatype,collection,licenseurl,publisher,year,date,creator[0],creator[1],creator[2],language,title,description
SeaGL2021-Lightning_Talks,SeaGL2021-Lightning_Talks.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Kaylea Champion,Aaron Wolf,,English,Lightning Talks,
SeaGL2021-Marie_Nordin-How_I_Help_Fedora_RISE,SeaGL2021-Marie_Nordin-How_I_Help_Fedora_RISE.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Marie Nordin,,,English,How I Help Fedora R.I.S.E.,
SeaGL2021-Mark_Wong-PostgreSQL_Participation_in_Googles_Summer_of_Code,SeaGL2021-Mark_Wong-PostgreSQL_Participation_in_Googles_Summer_of_Code.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Mark Wong,,,English,PostgreSQL Participation in Google's Summer of Code,"<p>The <a href=""https://www.postgresql.org/"">PostgreSQL</a> community has participated in the international <a href=""https://summerofcode.withgoogle.com/"">Google Summer of Code</a> program for many years now. This program is focused on introducing students with developing open source software.</p><p>This presentation gives a brief overview of the program, the software projects that the PostgreSQL community mentored, and the commitment needed to have a successful summer.</p><p>The PostgreSQL organization’s projects ranged from command line utilities, Web applications, testing tools, extensions to PostgreSQL and other database related software.</p><p>PostgreSQL is a powerful, open source object-relational database system with over 30 years of active development that has earned it a strong reputation for reliability, feature robustness, and performance.</p>"
SeaGL2021-Molly_de_Blanc-Predictive_Modeling_and_Privacy,SeaGL2021-Molly_de_Blanc-Predictive_Modeling_and_Privacy.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Molly de Blanc,,,English,Predictive Modeling and Privacy,"<p>We’re defining predictive modeling as the intentional building of a model to predict someone’s actions and desires. Predictive modeling can be a really useful tool – it can help us customize environments to our emotional states, anticipate needs, and help us find the things we want even when we don’t know we want them. Predictive modeling can also be a scary violation of privacy, letting others know about our inner desires regardless of what we want to share. Even if someone consents to a model being built from them, it is impossible to understand the ways they might be implemented in the future or the direction of technological development.</p><p>In this session we’ll be talking a bit about ow predictive modeling already exists and ways it could develop in the future; why it is something we should be thinking about; and what sorts of things we can do as individuals and collectives.</p>"
SeaGL2021-Richard_Littauer-Birds_by_Starlight,SeaGL2021-Richard_Littauer-Birds_by_Starlight.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Richard Littauer,,,English,Birds by Starlight: Tracking Nocturnal Flight Calls Using Open Source Software,"<p>We all know that Canada Geese migrate. They’re up there, honking away, going somewhere in spring, and then back again in autumn. But what most people don’t know is that all of the cool birds - Cape May Warblers, Semipalmated Sandpipers, Gray-cheeked Thrushes, you name it - also migrate. They do this at night, and they give a lot of little traffic updates to their friends: “Beep beep, I’m over here, don’t hit me.”</p><p>In this talk, I’ll talk about how scientists across the world are using Nocturnal Flight Call monitoring stations to listen in on these little tweeters. I’ll talk about how I set up my monitoring stations, and how I both use and write open source software to find, identify, and ultimately record migrating birds for Science™.</p><p>And yes, I’ve recorded several species of seagulls.</p>"
SeaGL2021-Shauna_Gordon-McKeon-Know_Your_Rights_as_a_Tech_Worker,SeaGL2021-Shauna_Gordon-McKeon-Know_Your_Rights_as_a_Tech_Worker.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Shauna Gordon-McKeon,,,English,Know Your Rights as a Tech Worker,"<p>If there’s a problem with your code, you can file a bug report. But what do you do when there’s a problem with your workplace?</p><p>All workers, including tech workers, have the right to try and improve our workplaces. This talk will give you an overview of your rights, with a special focus on issues that commonly arise in the tech industry, such as workplace harassment, overuse of non-disclosure agreements and forced arbitration clauses, and misclassification of contractors. We’ll also talk about what you can do when your company does something unethical, following the “Bargaining for the Common Good” model used by workers around the country to fight poverty, systemic racism, and climate change.</p>"
SeaGL2021-Shauna_Gordon-McKeon-Software_Tools_for_Collective_Self-Governance,SeaGL2021-Shauna_Gordon-McKeon-Software_Tools_for_Collective_Self-Governance.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Shauna Gordon-McKeon,,,English,Software Tools for Collective Self-Governance,"<p>Software systems embed power relationships in their code through their design and in particular through their permissions systems. Even highly collaborative software often relies on the “Benevolent Dictator For Life” model of community and resource management, with a single account given power they may or may not delegate.</p><p>While this is the dominant model of governance embedded in technology, it’s certainly not the only model. This talk will provide an overview of software projects - most free/open source - which provide ways for governments, institutions, communities, and even groups of internet strangers to govern themselves and their resources in a more democratic way.</p>"
SeaGL2021-Ski-Lessons_Learned_from_a_Ransomware_Attack,SeaGL2021-Ski-Lessons_Learned_from_a_Ransomware_Attack.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-05,Ski,,,English,Lessons Learned from a Ransomware Attack,"<p>This talk covers a ransomware attack on medium size school district (23K students, 4K staff). We start with the timeline of the attack that was determined by forensic analysis, cover what was damaged in the attack, and then cover the attack recovery process. Then we’ll discuss changes that were made to avoid and mitigate any future attacks. We wrap up with the lessons learned during this attack in the hope that they will help you to avoid and recover quicker if you do experience a ransomware attack.</p><p>After this talk you will have a better understanding of how an attack happens, what kind of alerts may be symptoms of an attack, what to do in case you are attacked, what happens after you are attacked, and what actions you can take now to avoid and mitigate a ransomware attack.</p>"
SeaGL2021-Stephen_Michel-Technically_Biased_Taking_Free_Softwares_Niche_Appeal_Mainstream,SeaGL2021-Stephen_Michel-Technically_Biased_Taking_Free_Softwares_Niche_Appeal_Mainstream.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Stephen Michel,,,English,Technically Biased: Taking Free Software's Niche Appeal Mainstream,"<p>The Free Software movement’s ideals are egalitarian. We aim to bring the benefits of computing freedom to all users. However, we often overlook an uncomfortable inequality: Software Freedom disproportionately empowers programmers and those wealthy enough to hire them.</p><p>For today’s average “end users”, freedomware leaves them with basically the same options as proprietary freeware: use it as-is, or politely ask the developer and hope for the best. In my opinion, this is a key reason why it’s difficult to convince the wider public to care; it’s why Software Freedom largely remains a movement by and for programmers.</p><p>In this talk, I’ll argue that:</p><ul><li>Programming education policy is the most important area for Software Freedom advocacy.</li><li>Designing for “nontechnical users” is an existential threat to Free Software.</li><li>Scriptable interfaces are a great way to make software more accessible to tech-illiterate users.</li></ul>"
SeaGL2021-Thierry_Bultel-Cross_debugging_on_Linux,SeaGL2021-Thierry_Bultel-Cross_debugging_on_Linux.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Thierry Bultel,,,English,"Cross debugging on Linux: A history, current state of the art and coming improvements","<p><strong>Cross debugging</strong>, and more generally, <strong>remote debugging</strong>, is something that may be unknown, or badly used, by either beginner engineers, or sometimes even by senior engineers, for several reasons. Some people simply do not know that remote debugging tools exists, some might consider the complex setup as a show-stopper, some other ones may not trust the tools (<em>and we can explain why</em>).</p><p>Yet the return of investment of such tools is <em>significant</em>, provided that they are used appropriately.</p><p>This presentation talks about the first-fruits of cross-debugging, going through some real experiences, some architecture schemes and functionnal descriptions, comparing the existing solutions (eg, <strong>gdb-server</strong> vs <strong>lldb</strong> vs <strong>tcf</strong> …), and their integration in IDEs (<strong>Eclipse</strong>, <strong>VsCode</strong>).</p><p>A technical chapter about the debugger mysteries, explains, in particular, why <em>multithread</em>, or <em>SMP</em> debugging is a complex issue, and how existing debuggers deal with it.</p><p>A chapter of performance analysis tools (eg, <i>valgrind</i>) is presented, too, in order to offer a kind of swiss army knife to the listeners.</p><p>As a conclusion, a short presentation of the debug tools on another OpenSource OS (<a href=""https://www.zephyrproject.org/"">Zephyr</a>) is done.</p>"
SeaGL2021-Tobie_Langel-Does_open_source_need_its_own_Priority_of_Constituencies,SeaGL2021-Tobie_Langel-Does_open_source_need_its_own_Priority_of_Constituencies.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Tobie Langel,,,English,Does open source need its own Priority of Constituencies?,"<p>From its inception, open source—and free software before it—was built around ethical notions: give people agency and power over their software so they could use, modify, and share it as they pleased to accomplish whatever it is that they wanted to do with it.</p><p>In a world where running software required programming skills, there was a lot of overlap between users and developers of open source, and so this rather simple framework was sufficient to deal with open source’s different constituencies.</p><p>Since then, open source has become ubiquitous. As a result, the number of constituencies has ballooned: there are indie and corporate contributors and maintainers, open source software vendors, developers building proprietary code on top of open source, end-users who don’t know anything about software, people impacted by open source software who are not even using it, cloud providers, etc., etc.</p><p>When the interests of these different actors are in conflict, which one of them do we favor and why? Neither the Four Freedoms nor the Open Source Definition (OSD) really helps us answer that question.</p><p>Faced with similar issues, other communities have designed really effective frameworks to guide their decision-making processes. W3C’s “priority of constituencies” is such a framework.</p><p>In this talk we’ll dig into what W3C’s priority of constituencies is, outline its benefits, but also its limits.</p><p>We’ll then see how we could apply the priority of constituencies to open source, what that reveals about the complexity of the open source ecosystem, and in particular how the parts that are difficult to fit in such a framework are precisely those that have made the news in the past few years.</p>"
SeaGL2021-Vagrant_Cascadian-Debugging_Reproducible_Builds_One_Day_at_a_Time,SeaGL2021-Vagrant_Cascadian-Debugging_Reproducible_Builds_One_Day_at_a_Time.mp4,movies,seagl,https://creativecommons.org/licenses/by-sa/4.0/,Seattle GNU/Linux Conference,2021,2021-11-06,Vagrant Cascadian,,,English,Debugging Reproducible Builds One Day at a Time,"<p>Reproducible builds are a set of software development practices that create an independently-verifiable path from source to binary code. A build is reproducible if given the same source code, build environment and build instructions, any party can recreate bit-by-bit identical copies of all specified artifacts.</p><p>I’d like to share with you my process for going about fixing Reproducible Builds issues in Debian, though some of the ideas will be applicable to debugging issues of any kind in any environment.</p><p>I’ll explore how I go about identifying issues to work on, learn more about the specific issues, recreate the problem locally, isolate the potential causes, dissect the problem into identifiable parts, and adapt the packaging and/or source code to fix the issues.</p><p>This will give you an eye into how I think about, struggle with, and eventually fix all sorts of things.</p><p>Watching this talk should help you go from someone who “knows a bit of code” to someone ready to submit a fix to your favorite free software project!</p><p>This talk will mostly focus on the <em>hows</em> of Reproducible Builds, not too much on the <em>whys</em>, which can be further explored at:</p><p><a href=""https://reproducible-builds.org/"">https://reproducible-builds.org/</a></p>"
